"Municipio" "Habitantes" "Provincia" "INE" "AMB" "lat" "lon"
"Cercs" 1145 "Barcelona" "08268" "0" 42.14618 1.8609
"Cerdanyola del Vallès" 57403 "Barcelona" "08266" "1" 41.49246 2.147
"Cervelló" 9054 "Barcelona" "08068" "1" 41.39569 1.9535
"Cervera" 9180 "Lleida" "25072" "0" 41.6714 1.27178
"Cervià de les Garrigues" 640 "Lleida" "25073" "0" 41.42681 0.85985
"Cervià de Ter" 968 "Girona" "17050" "0" 42.06721 2.90933
"Cistella" 282 "Girona" "17051" "0" 42.26856 2.84746
"Ciutadilla" 208 "Lleida" "25074" "0" 41.56134 1.13736
"Clariana de Cardener" 157 "Lleida" "25075" "0" 41.93383 1.62481
"el Cogul" 158 "Lleida" "25076" "0" 41.46712 0.68978
"Colera" 448 "Girona" "17054" "0" 42.40375 3.15077
"Coll de Nargó" 550 "Lleida" "25077" "0" 42.17301 1.31587
"Collbató" 4466 "Barcelona" "08069" "0" 41.56435 1.8315
"Colldejou" 176 "Tarragona" "43045" "0" 41.09892 0.88781
"Collsuspina" 342 "Barcelona" "08070" "0" 41.8278 2.17505
"Colomers" 176 "Girona" "17055" "0" 42.08419 2.98748
"la Coma i la Pedra" 265 "Lleida" "25163" "0" 42.17635 1.59076
"Conca de Dalt" 418 "Lleida" "25161" "0" 42.24375 0.97139
"Conesa" 103 "Tarragona" "43046" "0" 41.5186 1.29116
"Constantí" 6540 "Tarragona" "43047" "0" 41.15137 1.21629
"Copons" 310 "Barcelona" "08071" "0" 41.63607 1.51933
"Corbera d'Ebre" 1016 "Tarragona" "43048" "0" 41.07718 0.47703
"Corbera de Llobregat" 14822 "Barcelona" "08072" "1" 41.41757 1.92936
"Corbins" 1444 "Lleida" "25078" "0" 41.68746 0.69063
"Corçà" 1267 "Girona" "17057" "0" 41.98902 3.01505
"Cornellà de Llobregat" 88592 "Barcelona" "08073" "1" 41.35599 2.07081
"Cornellà del Terri" 2364 "Girona" "17056" "0" 42.08917 2.81629
"Cornudella de Montsant" 941 "Tarragona" "43049" "0" 41.26472 0.90484
"Creixell" 3642 "Tarragona" "43050" "0" 41.16303 1.43972
"Crespià" 246 "Girona" "17058" "0" 42.18854 2.80117
"Cruïlles, Monells i Sant Sadurní de l'Heura" 1279 "Girona" "17901" "0" 41.95642 2.99239
"Cubelles" 15329 "Barcelona" "08074" "0" 41.209 1.67934
"Cubells" 343 "Lleida" "25079" "0" 41.85315 0.95735
"Cunit" 12952 "Tarragona" "43051" "0" 41.19838 1.64046
"Darnius" 546 "Girona" "17060" "0" 42.36805 2.83222
"Das" 253 "Girona" "17061" "0" 42.36118 1.8702
"Deltebre" 11482 "Tarragona" "43901" "0" 40.7223 0.70093
"Dosrius" 5481 "Barcelona" "08075" "0" 41.59452 2.40569
"Duesaigües" 245 "Tarragona" "43053" "0" 41.37736 1.1597
"l'Escala" 10339 "Girona" "17062" "0" 42.12302 3.13229
"Esparreguera" 22251 "Barcelona" "08076" "0" 41.53719 1.86794
"Espinelves" 215 "Girona" "17063" "0" 41.86898 2.41805
"l'Espluga Calba" 341 "Lleida" "25081" "0" 41.4963 1.00445
"l'Espluga de Francolí" 3755 "Tarragona" "43054" "0" 41.39781 1.10474
"Esplugues de Llobregat" 46680 "Barcelona" "08077" "1" 41.37384 2.08417
"Espolla" 416 "Girona" "17064" "0" 42.39098 3.00164
"Esponellà" 438 "Girona" "17065" "0" 42.1769 2.7958
"Espot" 364 "Lleida" "25082" "0" 42.57577 1.08904
"l'Espunyola" 254 "Barcelona" "08078" "0" 42.05386 1.77003
"l'Esquirol" 2181 "Barcelona" "08254" "0" 42.03669 2.36322
"Estamariu" 118 "Lleida" "25088" "0" 42.37479 1.52427
"l'Estany" 406 "Barcelona" "08079" "0" 41.86945 2.11395
"Estaràs" 162 "Lleida" "25085" "0" 41.69168 1.3794
"Esterri d'Àneu" 772 "Lleida" "25086" "0" 42.62711 1.12316
"Esterri de Cardós" 70 "Lleida" "25087" "0" 42.59219 1.26158
"Falset" 2834 "Tarragona" "43055" "0" 41.14426 0.82049
"el Far d'Empordà" 599 "Girona" "17005" "0" 42.25222 2.99588
"Farrera" 116 "Lleida" "25089" "0" 42.49743 1.27258
"la Fatarella" 941 "Tarragona" "43056" "0" 41.16147 0.4734
"la Febró" 40 "Tarragona" "43057" "0" 41.27718 1.00428
"Figaró-Montmany" 1114 "Barcelona" "08134" "0" 41.72072 2.2729
"Fígols" 42 "Barcelona" "08080" "0" 42.181 1.83696
"Fígols i Alinyà" 252 "Lleida" "25908" "0" 42.20313 1.33901
"la Figuera" 111 "Tarragona" "43058" "0" 41.21584 0.73025
"Figueres" 46654 "Girona" "17066" "0" 42.26531 2.95808
"Figuerola del Camp" 320 "Tarragona" "43059" "0" 41.37153 1.26687
"Flaçà" 1093 "Girona" "17067" "0" 42.04664 2.95474
"Flix" 3408 "Tarragona" "43060" "0" 41.22784 0.543
"la Floresta" 147 "Lleida" "25092" "0" 41.50924 0.91982
"Fogars de la Selva" 1451 "Barcelona" "08082" "0" 41.73452 2.67133
"Fogars de Montclús" 470 "Barcelona" "08081" "0" 41.72775 2.44348
"Foixà" 297 "Girona" "17068" "0" 42.03936 2.99783
"Folgueroles" 2267 "Barcelona" "08083" "0" 41.93777 2.3146
"Fondarella" 784 "Lleida" "25093" "0" 41.63231 0.87674
"Fonollosa" 1453 "Barcelona" "08084" "0" 41.7623 1.66738
"Fontanals de Cerdanya" 444 "Girona" "17069" "0" 42.38499 1.89953
"Fontanilles" 139 "Girona" "17070" "0" 42.01123 3.10759
"Fontcoberta" 1468 "Girona" "17071" "0" 42.14297 2.79025
"Font-rubí" 1327 "Barcelona" "08085" "0" 41.41479 1.65037
"Foradada" 186 "Lleida" "25094" "0" 41.87816 1.01452
"Forallac" 1687 "Girona" "17902" "0" 41.96031 3.05501
"Forès" 43 "Tarragona" "43061" "0" 41.49467 1.23864
"Fornells de la Selva" 2650 "Girona" "17073" "0" 41.9301 2.81016
"Fortià" 763 "Girona" "17074" "0" 42.24269 3.04031
"les Franqueses del Vallès" 20092 "Barcelona" "08086" "0" 41.62998 2.29542
"Freginals" 346 "Tarragona" "43062" "0" 40.66972 0.51936
"la Fuliola" 1248 "Lleida" "25096" "0" 41.71424 1.01872
"Fulleda" 85 "Lleida" "25097" "0" 41.46333 1.02515
"Gaià" 175 "Barcelona" "08090" "0" 41.91659 1.92464
"la Galera" 731 "Tarragona" "43063" "0" 40.68209 0.46311
"Gallifa" 172 "Barcelona" "08087" "0" 41.69413 2.11483
"Gandesa" 3064 "Tarragona" "43064" "0" 41.05401 0.43843
"Garcia" 527 "Tarragona" "43065" "0" 41.13559 0.65211
"els Garidells" 187 "Tarragona" "43066" "0" 41.20742 1.24719
"la Garriga" 16514 "Barcelona" "08088" "0" 41.68433 2.28889
"Garrigàs" 437 "Girona" "17075" "0" 42.1939 2.95404
"Garrigoles" 162 "Girona" "17076" "0" 42.10756 3.03093
"Garriguella" 855 "Girona" "17077" "0" 42.34238 3.06442
"Gavà" 46771 "Barcelona" "08089" "1" 41.30398 2.00131
